ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
10797271,Steep Close,50.8537312,-1.1295433,,,,,,,,,,,,,,,,,,,Dore Avenue,Steep Close
29631646,,50.9694670,-1.3504872,,,,,,,,,,,,,,,,,,,,
250900716,Tanners Brook,50.9426570,-1.4366148,,,,,,,,,,,,,,,,,,,,
250900727,Tanners Brook,50.9422683,-1.4375568,,,,,,,,,,,,,,,,,,,,
250902941,Woburn Road,50.9436343,-1.4320488,,,,,,,,,,,,,,,,,,,,
250902942,Woburn Road,50.9434234,-1.4321856,,,,,,,,,,,,,,,,,,,,
282166635,,50.9636626,-1.4119800,,,,,,,,,,,,,,,,,,,,
282714676,Ticonderoga Gardens,50.8884793,-1.3724231,,,,,,,,,,,,,,,,,,,,
300389898,,51.0128385,-1.2580283,,,,,,,,,,,,,,,,,,,,
319571792,Lords Hill Centre,50.9416991,-1.4513144,LA,,,,,,,,,,,,,,,,,,,
319572903,Lords Hill Library,50.9398036,-1.4496889,LD,,,,,,,,,,,,,,,,,,,
319572987,Lords Hill Library,50.9397783,-1.4498136,LE,,,,,,,,,,,,,,,,,,,
319573128,Olive Road,50.9386433,-1.4453749,,,,,,,,,,,,,,,,,,,,
319573153,Alder Road,50.9380756,-1.4473455,,,,,,,,,,,,,,,,,,,,
319573393,Aldermoor Avenue,50.9394791,-1.4416395,,,,,,,,,,,,,,,,,,,,
319573491,Myrtle Road,50.9398410,-1.4398098,,,,,,,,,,,,,,,,,,,,
319573598,Springford Road,50.9407298,-1.4337136,,,,,,,,,,,,,,,,,,,,
319573667,Springford Road,50.9407045,-1.4339067,,,,,,,,,,,,,,,,,,,,
319574034,Lyburn Court,50.9388204,-1.4290997,,,,,,,,,,,,,,,,,,,,
319574094,Lyburn Court,50.9388872,-1.4287597,,,,,,,,,,,,,,,,,,,,
